JPMORGAN CHASE BANK;488;JPMorgan Chase Bank, National Association
BCO ANDBANK S.A.;65;Banco AndBank (Brasil) S.A.
ING BANK N.V.;492;ING Bank N.V.
LEVYCAM CCV LTDA;145;Levycam - Corretora de Câmbio e Valores Ltda.
BCV;250;BCV - Banco de Crédito e Varejo S/A
BCO REP ORIENTAL URUGUAY BCE;494;Banco de La Republica Oriental del Uruguay
BEXS CC S.A.;253;Bexs Corretora de Câmbio S/A
HSBC BANCO DE INVESTIMENTO;269;HSBC Brasil S.A. Banco de Investimento
BCO ARBI S.A.;213;Banco Arbi S.A.
BMFBOVESPA;;BMF Bovespa S.A. - Bolsa de Valores, Mercadorias e Futuros - Camara BMFBOVESPA
INTESA SANPAOLO BRASIL S.A. BM;139;Intesa Sanpaolo Brasil S.A. - Banco Múltiplo
BCO TRICURY S.A.;18;Banco Tricury S.A.
BCO SAFRA S.A.;422;Banco Safra S.A.
SMARTBANK;630;Banco Smartbank S.A.
BCO FIBRA S.A.;224;Banco Fibra S.A.
BCO LUSO BRASILEIRO S.A.;600;Banco Luso Brasileiro S.A.
BANCO PAN;623;Banco Pan S.A.
BCO BRADESCO CARTOES S.A.;204;Banco Bradesco Cartões S.A.
BCO VOTORANTIM S.A.;655;Banco Votorantim S.A.
BCO ITAUBANK S.A.;479;Banco ItauBank S.A.
BCO MUFG BRASIL S.A.;456;Banco MUFG Brasil S.A.
BCO SUMITOMO MITSUI BRASIL S.A.;464;Banco Sumitomo Mitsui Brasileiro S.A.
ITAÚ UNIBANCO S.A.;341;Itaú Unibanco  S.A.
BCO BRADESCO S.A.;237;Banco Bradesco S.A.
OMNI BANCO S.A.;613;Omni Banco S.A.
ITAÚ UNIBANCO HOLDING S.A.;652;Itaú Unibanco Holding S.A.
BCO SOFISA S.A.;637;Banco Sofisa S. A.
BMF Câmbio;;BMF Bovespa S/A - Bolsa de Valores, Mercadorias e Futuros - Camara Cambio
BCO INDUSVAL S.A.;653;Banco Indusval S. A.
BCO CREFISA S.A.;69;Banco Crefisa S.A.
BCO MIZUHO S.A.;370;Banco Mizuho do Brasil S.A.
BANCO INVESTCRED UNIBANCO S.A.;249;Banco Investcred Unibanco S.A.
BCO BMG S.A.;318;Banco BMG S.A.
BCO FICSA S.A.;626;Banco Ficsa S. A.
SAGITUR CC LTDA;270;Sagitur Corretora de Câmbio Ltda.
BCO SOCIETE GENERALE BRASIL;366;Banco Société Générale Brasil S.A.
MAGLIANO S.A. CCVM;113;Magliano S.A. Corretora de Cambio e Valores Mobiliarios
TULLETT PREBON BRASIL CVC LTDA;131;Tullett Prebon Brasil Corretora de Valores e Câmbio Ltda.
C.SUISSE HEDGING-GRIFFO CV S/A;11;Credit Suisse Hedging-Griffo Corretora de Valores S.A.
BCO PAULISTA S.A.;611;Banco Paulista S.A.
BOFA MERRILL LYNCH BM S.A.;755;Bank of America Merrill Lynch Banco Múltiplo S.A.
CCR REG MOGIANA;89;Cooperativa de Crédito Rural da Região da Mogiana
BCO PINE S.A.;643;Banco Pine S.A.
EASYNVEST - TÍTULO CV SA;140;Easynvest - Título Corretora de Valores SA
BCO DAYCOVAL S.A;707;Banco Daycoval S.A.
CAROL DTVM LTDA.;288;Carol Distribuidora de Títulos e Valores Mobiliários Ltda.
RENASCENCA DTVM LTDA;101;Renascença Distribuidora de Títulos e Valores Mobiliários Ltda.
DEUTSCHE BANK S.A.BCO ALEMAO;487;Deutsche Bank S.A. - Banco Alemão
BANCO CIFRA;233;Banco Cifra S.A.
GUIDE;177;Guide Investimentos S.A. Corretora de Valores
BCO RENDIMENTO S.A.;633;Banco Rendimento S.A.
BCO BS2 S.A.;218;Banco BS2 S.A.
BCO OLÉ BONSUCESSO CONSIGNADO S.A.;169;Banco Olé Bonsucesso Consignado S.A.
LASTRO RDV DTVM LTDA;293;Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.
FRENTE CC LTDA.;285;Frente Corretora de Câmbio Ltda.
B&T CC LTDA.;80;BT Corretora de Câmbio Ltda.
NOVO BCO CONTINENTAL S.A. - BM;753;Novo Banco Continental S.A. - Banco Múltiplo
BCO CRÉDIT AGRICOLE BR S.A.;222;Banco Credit Agrícole Brasil S.A.
CCR COOPAVEL;281;Cooperativa de Crédito Rural Coopavel
BANCO SISTEMA;754;Banco Sistema S.A.
CREDIALIANÇA CCR;98;Credialiança Cooperativa de Crédito Rural
BCO VR S.A.;610;Banco VR S.A.
BCO OURINVEST S.A.;712;Banco Ourinvest S.A.
CREDICOAMO;10;Credicoamo Crédito Rural Cooperativa
RB CAPITAL INVESTIMENTOS DTVM LTDA.;283;RB Capital Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.   
BCO SANTANDER (BRASIL) S.A.;33;Banco Santander (Brasil) S. A.
BANCO JOHN DEERE S.A.;217;Banco John Deere S.A.
BCO DO ESTADO DO RS S.A.;41;Banco do Estado do Rio Grande do Sul S.A.
ADVANCED CC LTDA;117;Advanced Corretora de Câmbio Ltda.
BCO A.J. RENNER S.A.;654;Banco A. J. Renner S.A.
BANCO ORIGINAL;212;Banco Original S.A.
DECYSEO CC LTDA.;289;Decyseo Corretora de Câmbio Ltda.
